epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,874.013,1.15035,1.31058,1.2101,0.62308,0.45033,0.49598,0.34832,1.14824,1.26817,1.16561,3.96559e-05,3.96559e-05,3.96559e-05
2,1698.91,1.15456,1.33823,1.21197,0.6068,0.46484,0.49931,0.35178,1.14183,1.24947,1.16596,5.31461e-05,5.31461e-05,5.31461e-05
3,2508.81,1.14794,1.32537,1.20816,0.61168,0.46713,0.50477,0.356,1.13202,1.23371,1.16114,4.04564e-05,4.04564e-05,4.04564e-05
